JGI_id,YALI0_id,glucose_1,glucose_2,glucose_3,glycerol_1,glycerol_2,glycerol_3,oleic_acid_1,oleic_acid_2,oleic_acid_3
jgi.p|Yarli1|64471,YALI0A00110g,4.88,2.64,3.23,1.21,1.11,3.61,6.77,13.32,7.67
jgi.p|Yarli1|64472,YALI0A00132g,1896.43,1845.77,1682.56,1234.99,1189.24,1120.35,864.64,1056.63,928.51
jgi.p|Yarli1|64473,YALI0A00154g,31.34,29.21,21.92,215.23,137.85,182.81,1867.59,2153.21,1958.68
jgi.p|Yarli1|64474,YALI0A00176g,3.67,3.85,3.15,3.07,1.74,2.09,4.13,2.43,4.34
jgi.p|Yarli1|64475,YALI0A00198g,0,0.17,0,0,0.5,1.29,1.55,0.81,1.75
jgi.p|Yarli1|64476,YALI0A00212g,9.15,9.49,9.73,6.31,6.53,6.85,11.27,14.18,13.1
jgi.p|Yarli1|64477,YALI0A00264g,489.68,496.98,447.1,431.05,408.37,366.64,246.99,285.32,251.25
jgi.p|Yarli1|64478,YALI0A00286g,244.82,272.97,249.23,168.19,185.59,158.59,161.13,191.51,173.14
jgi.p|Yarli1|64479,YALI0A00330g,32.58,27.91,35.69,36.85,31.17,37.82,24.36,20.34,20.96
jgi.p|Yarli1|64480,YALI0A00352g,1691.33,1682.06,1425.46,1262.91,1239.39,1130.14,885.43,982.31,880.89
jgi.p|Yarli1|64481,YALI0A00369g,0.81,0.97,1.45,2.47,4.13,5.16,7.08,2.55,3.4
jgi.p|Yarli1|64482,YALI0A00374g,2.64,1.49,2.24,1.58,2.25,3.33,1.19,0.54,2.1
jgi.p|Yarli1|64483,YALI0A00396g,33.59,37.67,39.71,83.79,95.11,107.79,296.8,143.87,224.96
jgi.p|Yarli1|64484,YALI0A00418g,7,4.19,6.64,6.61,6.92,7.37,5.79,5.77,5.37
jgi.p|Yarli1|64485,YALI0A00440g,137.53,147.92,169.32,203.47,201.74,198.46,203.66,167.34,207.1
jgi.p|Yarli1|64486,YALI0A00506g,44.11,46.09,45.31,45.01,45.07,43.78,35.9,36.1,36.46
jgi.p|Yarli1|64487,YALI0A00528g,0,0.16,0.12,0.28,0.12,0.47,0.11,0.1,0
jgi.p|Yarli1|64488,YALI0A00550g,4.56,4.65,3.97,4.35,2.18,2.65,2.78,1.37,2.54
jgi.p|Yarli1|64489,YALI0A00572g,0.68,0.33,0.6,0.87,1.11,0.85,0.45,0,0.39
jgi.p|Yarli1|64490,YALI0A00594g,476.9,539.01,509.3,465.39,422.06,397.38,225.26,305.39,241
jgi.p|Yarli1|64491,YALI0A00616g,40.21,35.88,39.11,31.17,31.65,29.52,31.93,30.55,31.22
jgi.p|Yarli1|64492,YALI0A00638g,57.82,55.59,57.14,55.68,42.28,46.25,34.77,42.65,38.39
jgi.p|Yarli1|64493,YALI0A00660g,18.78,20.1,21.99,44.31,54.49,45.46,116.19,90.58,73.77
jgi.p|Yarli1|64494,YALI0A00682g,0,0.38,0.24,0.45,0.49,0.9,3.84,2.38,2.55
jgi.p|Yarli1|64495,YALI0A00759g,30.68,30.54,29.51,37.36,42.4,35.65,32.2,32.28,29.95
jgi.p|Yarli1|64496,YALI0A00781g,38.97,53.41,50.75,50.04,43.6,46.26,34.74,35.93,43.43
jgi.p|Yarli1|64497,YALI0A00803g,145.71,156.08,139.79,129.99,134.64,118.91,113.85,126.46,106.33
jgi.p|Yarli1|64498,YALI0A00825g,11.83,13.7,14.03,13.48,15.22,14.9,9.07,7.62,9.57
